symbol,date,close
BOTZ,2025-12-30,36.58
BWIN,2025-12-30,25.45
JCTC,2025-12-30,2.34
SNSR,2025-12-30,37.255
FTXL,2025-12-30,131.4078
TTD,2025-12-30,38.12
WHLRD,2025-12-30,37.51
FTXR,2025-12-30,39.0359
VRIG,2025-12-30,25.095
PSC,2025-12-30,58.27
FTXH,2025-12-30,33.1665
ACIU,2025-12-30,3.15
FTXN,2025-12-30,28.1071
FLGT,2025-12-30,26.49
FCEF,2025-12-30,22.99
NTNX,2025-12-30,51.96
MRAM,2025-12-30,9.36
FTXO,2025-12-30,38.13
FTXG,2025-12-30,21.0818
FUSB,2025-12-30,13.6
TUSK,2025-12-30,1.83
CRSP,2025-12-30,53.19
IRTC,2025-12-30,178.57
WNEB,2025-12-30,12.64
BL,2025-12-30,57.23
GDS,2025-12-30,34.6
SND,2025-12-30,3.95
GECC,2025-12-30,6.95
XBIO,2025-12-30,2.08
ATOM,2025-12-30,2.19
LMB,2025-12-30,78.13
EFAS,2025-12-30,19.4912
KALV,2025-12-30,15.68
RILYL,2025-12-30,5.15
MBOT,2025-12-30,2.05
SNOA,2025-12-30,3.617
ESGU,2025-12-30,150.14
DWAS,2025-12-30,97.2
PYZ,2025-12-30,111.2122
KBWB,2025-12-30,84.91
KBWD,2025-12-30,13.65
KBWP,2025-12-30,128.36
KBWR,2025-12-30,62.5074
KBWY,2025-12-30,15.4978
PDP,2025-12-30,117.7116
PEY,2025-12-30,20.52
PFI,2025-12-30,58.3384
PFM,2025-12-30,51.8647
PGJ,2025-12-30,29.13
PHO,2025-12-30,71.2279
PID,2025-12-30,22.11
PIE,2025-12-30,23.895
PIO,2025-12-30,44.5238
PIZ,2025-12-30,49.2644
PKW,2025-12-30,135.3
PRN,2025-12-30,176.6652
PSL,2025-12-30,101.1726
PTF,2025-12-30,76.9406
PTH,2025-12-30,49.6843
PUI,2025-12-30,43.9048
PXI,2025-12-30,45.5129
PEZ,2025-12-30,104.9593
POLA,2025-12-30,1.65
FNWB,2025-12-30,9.42
NHTC,2025-12-30,3.13
BLBD,2025-12-30,46.59
SMMT,2025-12-30,17.49
CAPR,2025-12-30,28.96
TW,2025-12-30,107.86
SRET,2025-12-30,21.805
MBAI,2025-12-30,1.67
TANH,2025-12-30,0.9999
CLLS,2025-12-30,4.78
SEDG,2025-12-30,29.02
CCD,2025-12-30,21.12
CGNT,2025-12-30,9.3
KRNT,2025-12-30,14.33
ON,2025-12-30,54.24
CDTX,2025-12-30,220.8
XBIT,2025-12-30,2.34
CRBP,2025-12-30,8.01
RELY,2025-12-30,13.86
TACO,2025-12-30,10.13
FBIO,2025-12-30,3.58
TACOU,2025-12-30,10.29
UK,2025-12-30,0.83
VKTX,2025-12-30,35.32
CIVB,2025-12-30,22.61
STKS,2025-12-30,1.79
GAINN,2025-12-30,25.1299
JAGX,2025-12-30,0.9912
GLPG,2025-12-30,32.61
RKDA,2025-12-30,1.82
BZUN,2025-12-30,2.61
TIL,2025-12-30,10.375
CIGI,2025-12-30,149.77
FSV,2025-12-30,155.88
UBND,2025-12-30,22.02
WING,2025-12-30,240.33
PULM,2025-12-30,2.18
MB,2025-12-30,7.13
ABEO,2025-12-30,5.18
